exposure,outcome,outcome_group,label,stratification,sex,rr_au,rr_uy,B,rr_observed,explains_away
HAVEBFF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,BIO_SEX × HAVEBFF,female,3.0,5.0,2.142857142857143,1.6553409874110503,True
HAVEBFF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,BIO_SEX × HAVEBFF,female,5.0,1.5,1.3636363636363635,1.6553409874110503,False
HAVEBFF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,BIO_SEX × HAVEBFF,female,5.0,2.0,1.6666666666666667,1.6553409874110503,True
HAVEBFF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,BIO_SEX × HAVEBFF,female,5.0,3.0,2.142857142857143,1.6553409874110503,True
HAVEBFF-present-vs-absent (female),H4BMI,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4BMI,BIO_SEX × HAVEBFF,female,5.0,5.0,2.7777777777777777,1.6553409874110503,True
HAVEBFF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,BIO_SEX × HAVEBFF,female,1.5,1.5,1.125,1.6380311851859255,False
HAVEBFF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,BIO_SEX × HAVEBFF,female,1.5,2.0,1.2,1.6380311851859255,False
HAVEBFF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,BIO_SEX × HAVEBFF,female,1.5,3.0,1.2857142857142858,1.6380311851859255,False
HAVEBFF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,BIO_SEX × HAVEBFF,female,1.5,5.0,1.3636363636363635,1.6380311851859255,False
HAVEBFF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,BIO_SEX × HAVEBFF,female,2.0,1.5,1.2,1.6380311851859255,False
HAVEBFF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,BIO_SEX × HAVEBFF,female,2.0,2.0,1.3333333333333333,1.6380311851859255,False
HAVEBFF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,BIO_SEX × HAVEBFF,female,2.0,3.0,1.5,1.6380311851859255,False
HAVEBFF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,BIO_SEX × HAVEBFF,female,2.0,5.0,1.6666666666666667,1.6380311851859255,True
HAVEBFF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,BIO_SEX × HAVEBFF,female,3.0,1.5,1.2857142857142858,1.6380311851859255,False
HAVEBFF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,BIO_SEX × HAVEBFF,female,3.0,2.0,1.5,1.6380311851859255,False
HAVEBFF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,BIO_SEX × HAVEBFF,female,3.0,3.0,1.8,1.6380311851859255,True
HAVEBFF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,BIO_SEX × HAVEBFF,female,3.0,5.0,2.142857142857143,1.6380311851859255,True
HAVEBFF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,BIO_SEX × HAVEBFF,female,5.0,1.5,1.3636363636363635,1.6380311851859255,False
HAVEBFF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,BIO_SEX × HAVEBFF,female,5.0,2.0,1.6666666666666667,1.6380311851859255,True
HAVEBFF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,BIO_SEX × HAVEBFF,female,5.0,3.0,2.142857142857143,1.6380311851859255,True
HAVEBFF-present-vs-absent (female),H4WAIST,cardiometabolic,HAVEBFF+ vs HAVEBFF- (female) -> H4WAIST,BIO_SEX × HAVEBFF,female,5.0,5.0,2.7777777777777777,1.6380311851859255,True
HAVEBFF-present-vs-absent (female),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,BIO_SEX × HAVEBFF,female,1.5,1.5,1.125,1.5768959443299917,False
HAVEBFF-present-vs-absent (female),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,BIO_SEX × HAVEBFF,female,1.5,2.0,1.2,1.5768959443299917,False
HAVEBFF-present-vs-absent (female),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,BIO_SEX × HAVEBFF,female,1.5,3.0,1.2857142857142858,1.5768959443299917,False
HAVEBFF-present-vs-absent (female),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,BIO_SEX × HAVEBFF,female,1.5,5.0,1.3636363636363635,1.5768959443299917,False
HAVEBFF-present-vs-absent (female),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,BIO_SEX × HAVEBFF,female,2.0,1.5,1.2,1.5768959443299917,False
HAVEBFF-present-vs-absent (female),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,BIO_SEX × HAVEBFF,female,2.0,2.0,1.3333333333333333,1.5768959443299917,False
HAVEBFF-present-vs-absent (female),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,BIO_SEX × HAVEBFF,female,2.0,3.0,1.5,1.5768959443299917,False
HAVEBFF-present-vs-absent (female),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,BIO_SEX × HAVEBFF,female,2.0,5.0,1.6666666666666667,1.5768959443299917,True
HAVEBFF-present-vs-absent (female),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,BIO_SEX × HAVEBFF,female,3.0,1.5,1.2857142857142858,1.5768959443299917,False
HAVEBFF-present-vs-absent (female),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,BIO_SEX × HAVEBFF,female,3.0,2.0,1.5,1.5768959443299917,False
HAVEBFF-present-vs-absent (female),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,BIO_SEX × HAVEBFF,female,3.0,3.0,1.8,1.5768959443299917,True
HAVEBFF-present-vs-absent (female),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,BIO_SEX × HAVEBFF,female,3.0,5.0,2.142857142857143,1.5768959443299917,True
HAVEBFF-present-vs-absent (female),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,BIO_SEX × HAVEBFF,female,5.0,1.5,1.3636363636363635,1.5768959443299917,False
HAVEBFF-present-vs-absent (female),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,BIO_SEX × HAVEBFF,female,5.0,2.0,1.6666666666666667,1.5768959443299917,True
HAVEBFF-present-vs-absent (female),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,BIO_SEX × HAVEBFF,female,5.0,3.0,2.142857142857143,1.5768959443299917,True
HAVEBFF-present-vs-absent (female),H5ID1,functional,HAVEBFF+ vs HAVEBFF- (female) -> H5ID1,BIO_SEX × HAVEBFF,female,5.0,5.0,2.7777777777777777,1.5768959443299917,True
HAVEBFF-present-vs-absent (female),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,BIO_SEX × HAVEBFF,female,1.5,1.5,1.125,1.7310865433038065,False
HAVEBFF-present-vs-absent (female),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,BIO_SEX × HAVEBFF,female,1.5,2.0,1.2,1.7310865433038065,False
HAVEBFF-present-vs-absent (female),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,BIO_SEX × HAVEBFF,female,1.5,3.0,1.2857142857142858,1.7310865433038065,False
HAVEBFF-present-vs-absent (female),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,BIO_SEX × HAVEBFF,female,1.5,5.0,1.3636363636363635,1.7310865433038065,False
HAVEBFF-present-vs-absent (female),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,BIO_SEX × HAVEBFF,female,2.0,1.5,1.2,1.7310865433038065,False
HAVEBFF-present-vs-absent (female),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,BIO_SEX × HAVEBFF,female,2.0,2.0,1.3333333333333333,1.7310865433038065,False
HAVEBFF-present-vs-absent (female),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,BIO_SEX × HAVEBFF,female,2.0,3.0,1.5,1.7310865433038065,False
HAVEBFF-present-vs-absent (female),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,BIO_SEX × HAVEBFF,female,2.0,5.0,1.6666666666666667,1.7310865433038065,False
HAVEBFF-present-vs-absent (female),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,BIO_SEX × HAVEBFF,female,3.0,1.5,1.2857142857142858,1.7310865433038065,False
HAVEBFF-present-vs-absent (female),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,BIO_SEX × HAVEBFF,female,3.0,2.0,1.5,1.7310865433038065,False
HAVEBFF-present-vs-absent (female),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,BIO_SEX × HAVEBFF,female,3.0,3.0,1.8,1.7310865433038065,True
HAVEBFF-present-vs-absent (female),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,BIO_SEX × HAVEBFF,female,3.0,5.0,2.142857142857143,1.7310865433038065,True
HAVEBFF-present-vs-absent (female),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,BIO_SEX × HAVEBFF,female,5.0,1.5,1.3636363636363635,1.7310865433038065,False
HAVEBFF-present-vs-absent (female),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,BIO_SEX × HAVEBFF,female,5.0,2.0,1.6666666666666667,1.7310865433038065,False
HAVEBFF-present-vs-absent (female),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,BIO_SEX × HAVEBFF,female,5.0,3.0,2.142857142857143,1.7310865433038065,True
HAVEBFF-present-vs-absent (female),H5MN1,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN1,BIO_SEX × HAVEBFF,female,5.0,5.0,2.7777777777777777,1.7310865433038065,True
HAVEBFF-present-vs-absent (female),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,BIO_SEX × HAVEBFF,female,1.5,1.5,1.125,2.3437022783558437,False
HAVEBFF-present-vs-absent (female),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,BIO_SEX × HAVEBFF,female,1.5,2.0,1.2,2.3437022783558437,False
HAVEBFF-present-vs-absent (female),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,BIO_SEX × HAVEBFF,female,1.5,3.0,1.2857142857142858,2.3437022783558437,False
HAVEBFF-present-vs-absent (female),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,BIO_SEX × HAVEBFF,female,1.5,5.0,1.3636363636363635,2.3437022783558437,False
HAVEBFF-present-vs-absent (female),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,BIO_SEX × HAVEBFF,female,2.0,1.5,1.2,2.3437022783558437,False
HAVEBFF-present-vs-absent (female),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,BIO_SEX × HAVEBFF,female,2.0,2.0,1.3333333333333333,2.3437022783558437,False
HAVEBFF-present-vs-absent (female),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,BIO_SEX × HAVEBFF,female,2.0,3.0,1.5,2.3437022783558437,False
HAVEBFF-present-vs-absent (female),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,BIO_SEX × HAVEBFF,female,2.0,5.0,1.6666666666666667,2.3437022783558437,False
HAVEBFF-present-vs-absent (female),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,BIO_SEX × HAVEBFF,female,3.0,1.5,1.2857142857142858,2.3437022783558437,False
HAVEBFF-present-vs-absent (female),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,BIO_SEX × HAVEBFF,female,3.0,2.0,1.5,2.3437022783558437,False
HAVEBFF-present-vs-absent (female),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,BIO_SEX × HAVEBFF,female,3.0,3.0,1.8,2.3437022783558437,False
HAVEBFF-present-vs-absent (female),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,BIO_SEX × HAVEBFF,female,3.0,5.0,2.142857142857143,2.3437022783558437,False
HAVEBFF-present-vs-absent (female),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,BIO_SEX × HAVEBFF,female,5.0,1.5,1.3636363636363635,2.3437022783558437,False
HAVEBFF-present-vs-absent (female),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,BIO_SEX × HAVEBFF,female,5.0,2.0,1.6666666666666667,2.3437022783558437,False
HAVEBFF-present-vs-absent (female),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,BIO_SEX × HAVEBFF,female,5.0,3.0,2.142857142857143,2.3437022783558437,False
HAVEBFF-present-vs-absent (female),H5MN2,mental_health,HAVEBFF+ vs HAVEBFF- (female) -> H5MN2,BIO_SEX × HAVEBFF,female,5.0,5.0,2.7777777777777777,2.3437022783558437,True
HAVEBFF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,BIO_SEX × HAVEBFF,male,1.5,1.5,1.125,1.6541113550897677,False
HAVEBFF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,BIO_SEX × HAVEBFF,male,1.5,2.0,1.2,1.6541113550897677,False
HAVEBFF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,BIO_SEX × HAVEBFF,male,1.5,3.0,1.2857142857142858,1.6541113550897677,False
HAVEBFF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,BIO_SEX × HAVEBFF,male,1.5,5.0,1.3636363636363635,1.6541113550897677,False
HAVEBFF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,BIO_SEX × HAVEBFF,male,2.0,1.5,1.2,1.6541113550897677,False
HAVEBFF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,BIO_SEX × HAVEBFF,male,2.0,2.0,1.3333333333333333,1.6541113550897677,False
HAVEBFF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,BIO_SEX × HAVEBFF,male,2.0,3.0,1.5,1.6541113550897677,False
HAVEBFF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,BIO_SEX × HAVEBFF,male,2.0,5.0,1.6666666666666667,1.6541113550897677,True
HAVEBFF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,BIO_SEX × HAVEBFF,male,3.0,1.5,1.2857142857142858,1.6541113550897677,False
HAVEBFF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,BIO_SEX × HAVEBFF,male,3.0,2.0,1.5,1.6541113550897677,False
HAVEBFF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,BIO_SEX × HAVEBFF,male,3.0,3.0,1.8,1.6541113550897677,True
HAVEBFF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,BIO_SEX × HAVEBFF,male,3.0,5.0,2.142857142857143,1.6541113550897677,True
HAVEBFF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,BIO_SEX × HAVEBFF,male,5.0,1.5,1.3636363636363635,1.6541113550897677,False
HAVEBFF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,BIO_SEX × HAVEBFF,male,5.0,2.0,1.6666666666666667,1.6541113550897677,True
HAVEBFF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,BIO_SEX × HAVEBFF,male,5.0,3.0,2.142857142857143,1.6541113550897677,True
HAVEBFF-present-vs-absent (male),H4SBP,cardiometabolic,HAVEBFF+ vs HAVEBFF- (male) -> H4SBP,BIO_SEX × HAVEBFF,male,5.0,5.0,2.7777777777777777,1.6541113550897677,True
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,1.5,1.5,1.125,1.4815253371385,False
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,1.5,2.0,1.2,1.4815253371385,False
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,1.5,3.0,1.2857142857142858,1.4815253371385,False
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,1.5,5.0,1.3636363636363635,1.4815253371385,False
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,2.0,1.5,1.2,1.4815253371385,False
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,2.0,2.0,1.3333333333333333,1.4815253371385,False
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,2.0,3.0,1.5,1.4815253371385,True
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,2.0,5.0,1.6666666666666667,1.4815253371385,True
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,3.0,1.5,1.2857142857142858,1.4815253371385,False
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,3.0,2.0,1.5,1.4815253371385,True
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,3.0,3.0,1.8,1.4815253371385,True
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,3.0,5.0,2.142857142857143,1.4815253371385,True
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,5.0,1.5,1.3636363636363635,1.4815253371385,False
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,5.0,2.0,1.6666666666666667,1.4815253371385,True
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,5.0,3.0,2.142857142857143,1.4815253371385,True
HAVEBMF-present-vs-absent (female),W4_COG_COMP,cognitive,HAVEBMF+ vs HAVEBMF- (female) -> W4_COG_COMP,BIO_SEX × HAVEBMF,female,5.0,5.0,2.7777777777777777,1.4815253371385,True
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,1.5,1.5,1.125,1.9172005140639246,False
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,1.5,2.0,1.2,1.9172005140639246,False
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,1.5,3.0,1.2857142857142858,1.9172005140639246,False
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,1.5,5.0,1.3636363636363635,1.9172005140639246,False
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,2.0,1.5,1.2,1.9172005140639246,False
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,2.0,2.0,1.3333333333333333,1.9172005140639246,False
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,2.0,3.0,1.5,1.9172005140639246,False
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,2.0,5.0,1.6666666666666667,1.9172005140639246,False
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,3.0,1.5,1.2857142857142858,1.9172005140639246,False
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,3.0,2.0,1.5,1.9172005140639246,False
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,3.0,3.0,1.8,1.9172005140639246,False
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,3.0,5.0,2.142857142857143,1.9172005140639246,True
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,5.0,1.5,1.3636363636363635,1.9172005140639246,False
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,5.0,2.0,1.6666666666666667,1.9172005140639246,False
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,5.0,3.0,2.142857142857143,1.9172005140639246,True
HAVEBMF-present-vs-absent (male),H5ID1,functional,HAVEBMF+ vs HAVEBMF- (male) -> H5ID1,BIO_SEX × HAVEBMF,male,5.0,5.0,2.7777777777777777,1.9172005140639246,True
