exposure,outcome,outcome_group,label,rr_au,rr_uy,B,rr_observed,explains_away
IDGX2,H4BMI,cardiometabolic,IDGX2 -> H4BMI,2.0,5.0,1.6666666666666667,1.0935642854854122,True
IDGX2,H4BMI,cardiometabolic,IDGX2 -> H4BMI,3.0,1.5,1.2857142857142858,1.0935642854854122,True
IDGX2,H4BMI,cardiometabolic,IDGX2 -> H4BMI,3.0,2.0,1.5,1.0935642854854122,True
IDGX2,H4BMI,cardiometabolic,IDGX2 -> H4BMI,3.0,3.0,1.8,1.0935642854854122,True
IDGX2,H4BMI,cardiometabolic,IDGX2 -> H4BMI,3.0,5.0,2.142857142857143,1.0935642854854122,True
IDGX2,H4BMI,cardiometabolic,IDGX2 -> H4BMI,5.0,1.5,1.3636363636363635,1.0935642854854122,True
IDGX2,H4BMI,cardiometabolic,IDGX2 -> H4BMI,5.0,2.0,1.6666666666666667,1.0935642854854122,True
IDGX2,H4BMI,cardiometabolic,IDGX2 -> H4BMI,5.0,3.0,2.142857142857143,1.0935642854854122,True
IDGX2,H4BMI,cardiometabolic,IDGX2 -> H4BMI,5.0,5.0,2.7777777777777777,1.0935642854854122,True
IDGX2,H4WAIST,cardiometabolic,IDGX2 -> H4WAIST,1.5,1.5,1.125,1.1026082911235016,True
IDGX2,H4WAIST,cardiometabolic,IDGX2 -> H4WAIST,1.5,2.0,1.2,1.1026082911235016,True
IDGX2,H4WAIST,cardiometabolic,IDGX2 -> H4WAIST,1.5,3.0,1.2857142857142858,1.1026082911235016,True
IDGX2,H4WAIST,cardiometabolic,IDGX2 -> H4WAIST,1.5,5.0,1.3636363636363635,1.1026082911235016,True
IDGX2,H4WAIST,cardiometabolic,IDGX2 -> H4WAIST,2.0,1.5,1.2,1.1026082911235016,True
IDGX2,H4WAIST,cardiometabolic,IDGX2 -> H4WAIST,2.0,2.0,1.3333333333333333,1.1026082911235016,True
IDGX2,H4WAIST,cardiometabolic,IDGX2 -> H4WAIST,2.0,3.0,1.5,1.1026082911235016,True
IDGX2,H4WAIST,cardiometabolic,IDGX2 -> H4WAIST,2.0,5.0,1.6666666666666667,1.1026082911235016,True
IDGX2,H4WAIST,cardiometabolic,IDGX2 -> H4WAIST,3.0,1.5,1.2857142857142858,1.1026082911235016,True
IDGX2,H4WAIST,cardiometabolic,IDGX2 -> H4WAIST,3.0,2.0,1.5,1.1026082911235016,True
IDGX2,H4WAIST,cardiometabolic,IDGX2 -> H4WAIST,3.0,3.0,1.8,1.1026082911235016,True
IDGX2,H4WAIST,cardiometabolic,IDGX2 -> H4WAIST,3.0,5.0,2.142857142857143,1.1026082911235016,True
IDGX2,H4WAIST,cardiometabolic,IDGX2 -> H4WAIST,5.0,1.5,1.3636363636363635,1.1026082911235016,True
IDGX2,H4WAIST,cardiometabolic,IDGX2 -> H4WAIST,5.0,2.0,1.6666666666666667,1.1026082911235016,True
IDGX2,H4WAIST,cardiometabolic,IDGX2 -> H4WAIST,5.0,3.0,2.142857142857143,1.1026082911235016,True
IDGX2,H4WAIST,cardiometabolic,IDGX2 -> H4WAIST,5.0,5.0,2.7777777777777777,1.1026082911235016,True
IDGX2,H4BMICLS,cardiometabolic,IDGX2 -> H4BMICLS,1.5,1.5,1.125,1.087523717937547,True
IDGX2,H4BMICLS,cardiometabolic,IDGX2 -> H4BMICLS,1.5,2.0,1.2,1.087523717937547,True
IDGX2,H4BMICLS,cardiometabolic,IDGX2 -> H4BMICLS,1.5,3.0,1.2857142857142858,1.087523717937547,True
IDGX2,H4BMICLS,cardiometabolic,IDGX2 -> H4BMICLS,1.5,5.0,1.3636363636363635,1.087523717937547,True
IDGX2,H4BMICLS,cardiometabolic,IDGX2 -> H4BMICLS,2.0,1.5,1.2,1.087523717937547,True
IDGX2,H4BMICLS,cardiometabolic,IDGX2 -> H4BMICLS,2.0,2.0,1.3333333333333333,1.087523717937547,True
IDGX2,H4BMICLS,cardiometabolic,IDGX2 -> H4BMICLS,2.0,3.0,1.5,1.087523717937547,True
IDGX2,H4BMICLS,cardiometabolic,IDGX2 -> H4BMICLS,2.0,5.0,1.6666666666666667,1.087523717937547,True
IDGX2,H4BMICLS,cardiometabolic,IDGX2 -> H4BMICLS,3.0,1.5,1.2857142857142858,1.087523717937547,True
IDGX2,H4BMICLS,cardiometabolic,IDGX2 -> H4BMICLS,3.0,2.0,1.5,1.087523717937547,True
IDGX2,H4BMICLS,cardiometabolic,IDGX2 -> H4BMICLS,3.0,3.0,1.8,1.087523717937547,True
IDGX2,H4BMICLS,cardiometabolic,IDGX2 -> H4BMICLS,3.0,5.0,2.142857142857143,1.087523717937547,True
IDGX2,H4BMICLS,cardiometabolic,IDGX2 -> H4BMICLS,5.0,1.5,1.3636363636363635,1.087523717937547,True
IDGX2,H4BMICLS,cardiometabolic,IDGX2 -> H4BMICLS,5.0,2.0,1.6666666666666667,1.087523717937547,True
IDGX2,H4BMICLS,cardiometabolic,IDGX2 -> H4BMICLS,5.0,3.0,2.142857142857143,1.087523717937547,True
IDGX2,H4BMICLS,cardiometabolic,IDGX2 -> H4BMICLS,5.0,5.0,2.7777777777777777,1.087523717937547,True
IDGX2,H5ID1,functional,IDGX2 -> H5ID1,1.5,1.5,1.125,1.0779191271492659,True
IDGX2,H5ID1,functional,IDGX2 -> H5ID1,1.5,2.0,1.2,1.0779191271492659,True
IDGX2,H5ID1,functional,IDGX2 -> H5ID1,1.5,3.0,1.2857142857142858,1.0779191271492659,True
IDGX2,H5ID1,functional,IDGX2 -> H5ID1,1.5,5.0,1.3636363636363635,1.0779191271492659,True
IDGX2,H5ID1,functional,IDGX2 -> H5ID1,2.0,1.5,1.2,1.0779191271492659,True
IDGX2,H5ID1,functional,IDGX2 -> H5ID1,2.0,2.0,1.3333333333333333,1.0779191271492659,True
IDGX2,H5ID1,functional,IDGX2 -> H5ID1,2.0,3.0,1.5,1.0779191271492659,True
IDGX2,H5ID1,functional,IDGX2 -> H5ID1,2.0,5.0,1.6666666666666667,1.0779191271492659,True
IDGX2,H5ID1,functional,IDGX2 -> H5ID1,3.0,1.5,1.2857142857142858,1.0779191271492659,True
IDGX2,H5ID1,functional,IDGX2 -> H5ID1,3.0,2.0,1.5,1.0779191271492659,True
IDGX2,H5ID1,functional,IDGX2 -> H5ID1,3.0,3.0,1.8,1.0779191271492659,True
IDGX2,H5ID1,functional,IDGX2 -> H5ID1,3.0,5.0,2.142857142857143,1.0779191271492659,True
IDGX2,H5ID1,functional,IDGX2 -> H5ID1,5.0,1.5,1.3636363636363635,1.0779191271492659,True
IDGX2,H5ID1,functional,IDGX2 -> H5ID1,5.0,2.0,1.6666666666666667,1.0779191271492659,True
IDGX2,H5ID1,functional,IDGX2 -> H5ID1,5.0,3.0,2.142857142857143,1.0779191271492659,True
IDGX2,H5ID1,functional,IDGX2 -> H5ID1,5.0,5.0,2.7777777777777777,1.0779191271492659,True
IDGX2,H5ID4,functional,IDGX2 -> H5ID4,1.5,1.5,1.125,1.0656427986991637,True
IDGX2,H5ID4,functional,IDGX2 -> H5ID4,1.5,2.0,1.2,1.0656427986991637,True
IDGX2,H5ID4,functional,IDGX2 -> H5ID4,1.5,3.0,1.2857142857142858,1.0656427986991637,True
IDGX2,H5ID4,functional,IDGX2 -> H5ID4,1.5,5.0,1.3636363636363635,1.0656427986991637,True
IDGX2,H5ID4,functional,IDGX2 -> H5ID4,2.0,1.5,1.2,1.0656427986991637,True
IDGX2,H5ID4,functional,IDGX2 -> H5ID4,2.0,2.0,1.3333333333333333,1.0656427986991637,True
IDGX2,H5ID4,functional,IDGX2 -> H5ID4,2.0,3.0,1.5,1.0656427986991637,True
IDGX2,H5ID4,functional,IDGX2 -> H5ID4,2.0,5.0,1.6666666666666667,1.0656427986991637,True
IDGX2,H5ID4,functional,IDGX2 -> H5ID4,3.0,1.5,1.2857142857142858,1.0656427986991637,True
IDGX2,H5ID4,functional,IDGX2 -> H5ID4,3.0,2.0,1.5,1.0656427986991637,True
IDGX2,H5ID4,functional,IDGX2 -> H5ID4,3.0,3.0,1.8,1.0656427986991637,True
IDGX2,H5ID4,functional,IDGX2 -> H5ID4,3.0,5.0,2.142857142857143,1.0656427986991637,True
IDGX2,H5ID4,functional,IDGX2 -> H5ID4,5.0,1.5,1.3636363636363635,1.0656427986991637,True
IDGX2,H5ID4,functional,IDGX2 -> H5ID4,5.0,2.0,1.6666666666666667,1.0656427986991637,True
IDGX2,H5ID4,functional,IDGX2 -> H5ID4,5.0,3.0,2.142857142857143,1.0656427986991637,True
IDGX2,H5ID4,functional,IDGX2 -> H5ID4,5.0,5.0,2.7777777777777777,1.0656427986991637,True
IDGX2,H5LM5,ses,IDGX2 -> H5LM5,1.5,1.5,1.125,1.0541496266722252,True
IDGX2,H5LM5,ses,IDGX2 -> H5LM5,1.5,2.0,1.2,1.0541496266722252,True
IDGX2,H5LM5,ses,IDGX2 -> H5LM5,1.5,3.0,1.2857142857142858,1.0541496266722252,True
IDGX2,H5LM5,ses,IDGX2 -> H5LM5,1.5,5.0,1.3636363636363635,1.0541496266722252,True
IDGX2,H5LM5,ses,IDGX2 -> H5LM5,2.0,1.5,1.2,1.0541496266722252,True
IDGX2,H5LM5,ses,IDGX2 -> H5LM5,2.0,2.0,1.3333333333333333,1.0541496266722252,True
IDGX2,H5LM5,ses,IDGX2 -> H5LM5,2.0,3.0,1.5,1.0541496266722252,True
IDGX2,H5LM5,ses,IDGX2 -> H5LM5,2.0,5.0,1.6666666666666667,1.0541496266722252,True
IDGX2,H5LM5,ses,IDGX2 -> H5LM5,3.0,1.5,1.2857142857142858,1.0541496266722252,True
IDGX2,H5LM5,ses,IDGX2 -> H5LM5,3.0,2.0,1.5,1.0541496266722252,True
IDGX2,H5LM5,ses,IDGX2 -> H5LM5,3.0,3.0,1.8,1.0541496266722252,True
IDGX2,H5LM5,ses,IDGX2 -> H5LM5,3.0,5.0,2.142857142857143,1.0541496266722252,True
IDGX2,H5LM5,ses,IDGX2 -> H5LM5,5.0,1.5,1.3636363636363635,1.0541496266722252,True
IDGX2,H5LM5,ses,IDGX2 -> H5LM5,5.0,2.0,1.6666666666666667,1.0541496266722252,True
IDGX2,H5LM5,ses,IDGX2 -> H5LM5,5.0,3.0,2.142857142857143,1.0541496266722252,True
IDGX2,H5LM5,ses,IDGX2 -> H5LM5,5.0,5.0,2.7777777777777777,1.0541496266722252,True
IDGX2,H5EC1,ses,IDGX2 -> H5EC1,1.5,1.5,1.125,1.0714717046877027,True
IDGX2,H5EC1,ses,IDGX2 -> H5EC1,1.5,2.0,1.2,1.0714717046877027,True
IDGX2,H5EC1,ses,IDGX2 -> H5EC1,1.5,3.0,1.2857142857142858,1.0714717046877027,True
IDGX2,H5EC1,ses,IDGX2 -> H5EC1,1.5,5.0,1.3636363636363635,1.0714717046877027,True
IDGX2,H5EC1,ses,IDGX2 -> H5EC1,2.0,1.5,1.2,1.0714717046877027,True
IDGX2,H5EC1,ses,IDGX2 -> H5EC1,2.0,2.0,1.3333333333333333,1.0714717046877027,True
IDGX2,H5EC1,ses,IDGX2 -> H5EC1,2.0,3.0,1.5,1.0714717046877027,True
IDGX2,H5EC1,ses,IDGX2 -> H5EC1,2.0,5.0,1.6666666666666667,1.0714717046877027,True
IDGX2,H5EC1,ses,IDGX2 -> H5EC1,3.0,1.5,1.2857142857142858,1.0714717046877027,True
IDGX2,H5EC1,ses,IDGX2 -> H5EC1,3.0,2.0,1.5,1.0714717046877027,True
IDGX2,H5EC1,ses,IDGX2 -> H5EC1,3.0,3.0,1.8,1.0714717046877027,True
IDGX2,H5EC1,ses,IDGX2 -> H5EC1,3.0,5.0,2.142857142857143,1.0714717046877027,True
IDGX2,H5EC1,ses,IDGX2 -> H5EC1,5.0,1.5,1.3636363636363635,1.0714717046877027,True
IDGX2,H5EC1,ses,IDGX2 -> H5EC1,5.0,2.0,1.6666666666666667,1.0714717046877027,True
IDGX2,H5EC1,ses,IDGX2 -> H5EC1,5.0,3.0,2.142857142857143,1.0714717046877027,True
IDGX2,H5EC1,ses,IDGX2 -> H5EC1,5.0,5.0,2.7777777777777777,1.0714717046877027,True
ODGX2,W4_COG_COMP,cognitive,ODGX2 -> W4_COG_COMP,1.5,1.5,1.125,1.052847810506778,True
ODGX2,W4_COG_COMP,cognitive,ODGX2 -> W4_COG_COMP,1.5,2.0,1.2,1.052847810506778,True
ODGX2,W4_COG_COMP,cognitive,ODGX2 -> W4_COG_COMP,1.5,3.0,1.2857142857142858,1.052847810506778,True
ODGX2,W4_COG_COMP,cognitive,ODGX2 -> W4_COG_COMP,1.5,5.0,1.3636363636363635,1.052847810506778,True
ODGX2,W4_COG_COMP,cognitive,ODGX2 -> W4_COG_COMP,2.0,1.5,1.2,1.052847810506778,True
ODGX2,W4_COG_COMP,cognitive,ODGX2 -> W4_COG_COMP,2.0,2.0,1.3333333333333333,1.052847810506778,True
ODGX2,W4_COG_COMP,cognitive,ODGX2 -> W4_COG_COMP,2.0,3.0,1.5,1.052847810506778,True
ODGX2,W4_COG_COMP,cognitive,ODGX2 -> W4_COG_COMP,2.0,5.0,1.6666666666666667,1.052847810506778,True
ODGX2,W4_COG_COMP,cognitive,ODGX2 -> W4_COG_COMP,3.0,1.5,1.2857142857142858,1.052847810506778,True
ODGX2,W4_COG_COMP,cognitive,ODGX2 -> W4_COG_COMP,3.0,2.0,1.5,1.052847810506778,True
ODGX2,W4_COG_COMP,cognitive,ODGX2 -> W4_COG_COMP,3.0,3.0,1.8,1.052847810506778,True
ODGX2,W4_COG_COMP,cognitive,ODGX2 -> W4_COG_COMP,3.0,5.0,2.142857142857143,1.052847810506778,True
ODGX2,W4_COG_COMP,cognitive,ODGX2 -> W4_COG_COMP,5.0,1.5,1.3636363636363635,1.052847810506778,True
ODGX2,W4_COG_COMP,cognitive,ODGX2 -> W4_COG_COMP,5.0,2.0,1.6666666666666667,1.052847810506778,True
ODGX2,W4_COG_COMP,cognitive,ODGX2 -> W4_COG_COMP,5.0,3.0,2.142857142857143,1.052847810506778,True
ODGX2,W4_COG_COMP,cognitive,ODGX2 -> W4_COG_COMP,5.0,5.0,2.7777777777777777,1.052847810506778,True
ODGX2,H5ID1,functional,ODGX2 -> H5ID1,1.5,1.5,1.125,1.053622827976442,True
ODGX2,H5ID1,functional,ODGX2 -> H5ID1,1.5,2.0,1.2,1.053622827976442,True
ODGX2,H5ID1,functional,ODGX2 -> H5ID1,1.5,3.0,1.2857142857142858,1.053622827976442,True
ODGX2,H5ID1,functional,ODGX2 -> H5ID1,1.5,5.0,1.3636363636363635,1.053622827976442,True
ODGX2,H5ID1,functional,ODGX2 -> H5ID1,2.0,1.5,1.2,1.053622827976442,True
ODGX2,H5ID1,functional,ODGX2 -> H5ID1,2.0,2.0,1.3333333333333333,1.053622827976442,True
ODGX2,H5ID1,functional,ODGX2 -> H5ID1,2.0,3.0,1.5,1.053622827976442,True
ODGX2,H5ID1,functional,ODGX2 -> H5ID1,2.0,5.0,1.6666666666666667,1.053622827976442,True
ODGX2,H5ID1,functional,ODGX2 -> H5ID1,3.0,1.5,1.2857142857142858,1.053622827976442,True
ODGX2,H5ID1,functional,ODGX2 -> H5ID1,3.0,2.0,1.5,1.053622827976442,True
ODGX2,H5ID1,functional,ODGX2 -> H5ID1,3.0,3.0,1.8,1.053622827976442,True
ODGX2,H5ID1,functional,ODGX2 -> H5ID1,3.0,5.0,2.142857142857143,1.053622827976442,True
ODGX2,H5ID1,functional,ODGX2 -> H5ID1,5.0,1.5,1.3636363636363635,1.053622827976442,True
ODGX2,H5ID1,functional,ODGX2 -> H5ID1,5.0,2.0,1.6666666666666667,1.053622827976442,True
ODGX2,H5ID1,functional,ODGX2 -> H5ID1,5.0,3.0,2.142857142857143,1.053622827976442,True
ODGX2,H5ID1,functional,ODGX2 -> H5ID1,5.0,5.0,2.7777777777777777,1.053622827976442,True
ODGX2,H5ID4,functional,ODGX2 -> H5ID4,1.5,1.5,1.125,1.04848814261603,True
ODGX2,H5ID4,functional,ODGX2 -> H5ID4,1.5,2.0,1.2,1.04848814261603,True
ODGX2,H5ID4,functional,ODGX2 -> H5ID4,1.5,3.0,1.2857142857142858,1.04848814261603,True
ODGX2,H5ID4,functional,ODGX2 -> H5ID4,1.5,5.0,1.3636363636363635,1.04848814261603,True
ODGX2,H5ID4,functional,ODGX2 -> H5ID4,2.0,1.5,1.2,1.04848814261603,True
ODGX2,H5ID4,functional,ODGX2 -> H5ID4,2.0,2.0,1.3333333333333333,1.04848814261603,True
ODGX2,H5ID4,functional,ODGX2 -> H5ID4,2.0,3.0,1.5,1.04848814261603,True
ODGX2,H5ID4,functional,ODGX2 -> H5ID4,2.0,5.0,1.6666666666666667,1.04848814261603,True
ODGX2,H5ID4,functional,ODGX2 -> H5ID4,3.0,1.5,1.2857142857142858,1.04848814261603,True
ODGX2,H5ID4,functional,ODGX2 -> H5ID4,3.0,2.0,1.5,1.04848814261603,True
ODGX2,H5ID4,functional,ODGX2 -> H5ID4,3.0,3.0,1.8,1.04848814261603,True
ODGX2,H5ID4,functional,ODGX2 -> H5ID4,3.0,5.0,2.142857142857143,1.04848814261603,True
ODGX2,H5ID4,functional,ODGX2 -> H5ID4,5.0,1.5,1.3636363636363635,1.04848814261603,True
ODGX2,H5ID4,functional,ODGX2 -> H5ID4,5.0,2.0,1.6666666666666667,1.04848814261603,True
ODGX2,H5ID4,functional,ODGX2 -> H5ID4,5.0,3.0,2.142857142857143,1.04848814261603,True
ODGX2,H5ID4,functional,ODGX2 -> H5ID4,5.0,5.0,2.7777777777777777,1.04848814261603,True
ODGX2,H5EC1,ses,ODGX2 -> H5EC1,1.5,1.5,1.125,1.088468616722895,True
ODGX2,H5EC1,ses,ODGX2 -> H5EC1,1.5,2.0,1.2,1.088468616722895,True
ODGX2,H5EC1,ses,ODGX2 -> H5EC1,1.5,3.0,1.2857142857142858,1.088468616722895,True
ODGX2,H5EC1,ses,ODGX2 -> H5EC1,1.5,5.0,1.3636363636363635,1.088468616722895,True
ODGX2,H5EC1,ses,ODGX2 -> H5EC1,2.0,1.5,1.2,1.088468616722895,True
ODGX2,H5EC1,ses,ODGX2 -> H5EC1,2.0,2.0,1.3333333333333333,1.088468616722895,True
ODGX2,H5EC1,ses,ODGX2 -> H5EC1,2.0,3.0,1.5,1.088468616722895,True
ODGX2,H5EC1,ses,ODGX2 -> H5EC1,2.0,5.0,1.6666666666666667,1.088468616722895,True
ODGX2,H5EC1,ses,ODGX2 -> H5EC1,3.0,1.5,1.2857142857142858,1.088468616722895,True
ODGX2,H5EC1,ses,ODGX2 -> H5EC1,3.0,2.0,1.5,1.088468616722895,True
ODGX2,H5EC1,ses,ODGX2 -> H5EC1,3.0,3.0,1.8,1.088468616722895,True
ODGX2,H5EC1,ses,ODGX2 -> H5EC1,3.0,5.0,2.142857142857143,1.088468616722895,True
ODGX2,H5EC1,ses,ODGX2 -> H5EC1,5.0,1.5,1.3636363636363635,1.088468616722895,True
ODGX2,H5EC1,ses,ODGX2 -> H5EC1,5.0,2.0,1.6666666666666667,1.088468616722895,True
ODGX2,H5EC1,ses,ODGX2 -> H5EC1,5.0,3.0,2.142857142857143,1.088468616722895,True
ODGX2,H5EC1,ses,ODGX2 -> H5EC1,5.0,5.0,2.7777777777777777,1.088468616722895,True
